STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ARUNACHAL PRADESH,PAPUM PARE,2011,7,6,0,4,0,4,23,17,6,4,0,12,26,119,82,37,30,17,31,0,19,68,0,7,0,9,0,21,150,553
ARUNACHAL PRADESH,RURAL,2011,0,3,0,2,0,2,5,4,1,2,0,2,6,13,5,8,1,1,5,0,2,22,0,4,0,3,0,4,24,99
ARUNACHAL PRADESH,SIANG EAST,2011,4,0,1,8,0,8,4,4,0,0,0,6,30,79,29,50,2,1,3,0,2,33,0,7,0,2,0,8,45,235
ARUNACHAL PRADESH,SIANG UPPER,2011,2,0,0,1,0,1,3,3,0,0,0,3,7,8,0,8,0,2,2,0,0,11,0,3,0,0,0,0,13,55
ARUNACHAL PRADESH,SIANG WEST,2011,2,3,0,2,0,2,8,5,3,0,0,8,11,32,9,23,4,5,9,0,3,36,0,8,0,2,0,6,71,210
ARUNACHAL PRADESH,SUBANSIRI LOWER,2011,4,1,0,2,0,2,3,3,0,0,0,5,5,15,2,13,0,2,0,0,2,10,0,0,0,0,0,4,25,78
ARUNACHAL PRADESH,SUBANSIRI UPPER,2011,1,1,0,2,0,2,8,6,2,0,0,3,13,5,0,5,2,6,5,0,1,45,0,5,0,0,0,5,34,136
ARUNACHAL PRADESH,TAWANG,2011,0,0,0,0,0,0,1,1,0,0,0,0,7,4,0,4,0,1,1,0,0,7,0,1,0,0,0,6,21,49
ARUNACHAL PRADESH,TIRAP,2011,11,1,0,3,0,3,9,1,8,1,0,5,23,21,5,16,0,1,2,0,1,9,0,3,0,0,0,2,51,143
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2011,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5
ARUNACHAL PRADESH,TOTAL,2011,65,29,2,42,0,42,93,60,33,13,0,64,183,414,152,262,49,54,74,2,34,379,0,51,0,18,0,98,622,2286
ARUNACHAL PRADESH,ANJAW,2012,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,2,0,1,0,0,0,3,0,0,0,0,0,0,5,15
ARUNACHAL PRADESH,CHANGLANG,2012,7,6,0,6,0,6,12,7,5,2,0,4,22,31,0,31,4,6,4,0,0,42,1,5,0,4,0,3,64,223
ARUNACHAL PRADESH,DIBANG VALLEY,2012,4,0,0,2,0,2,5,4,1,2,0,2,8,16,4,12,0,0,1,1,1,13,0,2,0,1,0,6,14,78
ARUNACHAL PRADESH,K/KUMEY,2012,1,0,0,2,0,2,1,1,0,1,0,0,0,5,0,5,0,2,1,0,0,6,0,1,0,0,0,1,8,29
ARUNACHAL PRADESH,KAMENG EAST,2012,9,1,1,6,0,6,2,2,0,2,0,4,8,9,0,9,0,2,8,0,0,43,0,1,0,0,0,5,39,140
ARUNACHAL PRADESH,KAMENG WEST,2012,6,1,0,0,0,0,3,1,2,1,0,1,11,14,4,10,0,2,1,0,0,30,0,1,0,2,0,18,21,112
ARUNACHAL PRADESH,LOHIT,2012,11,4,0,3,0,3,12,5,7,1,0,7,28,38,7,31,0,6,5,0,0,20,0,11,0,2,0,17,61,226
ARUNACHAL PRADESH,PAPUM PARE,2012,4,5,0,7,0,7,20,15,5,4,0,15,30,102,40,62,10,13,40,0,17,62,0,8,2,3,0,15,148,505
ARUNACHAL PRADESH,RURAL,2012,6,1,0,6,0,6,4,3,1,0,0,1,9,11,5,6,2,5,6,0,2,20,0,8,0,1,0,3,19,104
ARUNACHAL PRADESH,SIANG EAST,2012,5,0,0,6,0,6,1,0,1,2,0,6,16,46,15,31,0,1,2,0,1,16,0,4,0,1,0,10,53,170
ARUNACHAL PRADESH,SIANG UPPER,2012,1,1,0,1,0,1,3,3,0,1,0,0,6,11,0,11,5,2,3,0,1,7,0,0,0,3,0,2,4,51
ARUNACHAL PRADESH,SIANG WEST,2012,4,1,0,2,0,2,4,4,0,0,0,8,18,38,12,26,4,7,2,0,4,54,0,6,0,7,0,5,54,218
ARUNACHAL PRADESH,SUBANSIRI LOWER,2012,4,1,0,0,0,0,4,2,2,1,0,7,12,12,3,9,0,5,4,0,3,33,0,5,0,2,0,4,39,136
ARUNACHAL PRADESH,SUBANSIRI UPPER,2012,3,0,0,4,0,4,4,4,0,0,0,4,5,19,0,19,0,0,3,0,3,61,0,11,0,0,0,4,47,168
ARUNACHAL PRADESH,TAWANG,2012,2,0,0,0,0,0,0,0,0,0,0,1,8,16,0,16,1,1,1,0,0,2,0,1,0,0,0,1,12,46
ARUNACHAL PRADESH,TIRAP,2012,6,7,0,1,0,1,6,6,0,3,0,5,26,31,5,26,2,2,4,0,1,25,0,2,0,0,0,0,66,187
